corpus,langue,signataire_original,rédigé_par,type,date,url,titre,texte_,nbCar,perplexité_point,completely_generated_prob_point,average_generated_prob_point,perplexité_virgule,completely_generated_prob_virgule,average_generated_prob_virgule
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-01-24,https://www.ledevoir.com/societe/595800/les-moments-cles-de-l-arrestation-de-mamadi-camara,Les moments clés de l’arrestation de Mamadi Camara,"Pour tenter de faire la lumière sur l’arrestation de Mamadi III Fara Camara, Le Devoir a replongé au [...]",4275,172.47,6.587331925107545e-32,0,"172,5","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-01-30,https://www.ledevoir.com/societe/598702/montreal-controverse-autour-d-une-arrestation-musclee,Controverse autour d’une arrestation musclée,Une arrestation musclée survenue samedi au parc Jeanne-Mance suscite la controverse. Les témoins de  [...],4078,140.97,1.444139158634242e-26,0,141,"0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-03-10,https://www.ledevoir.com/societe/571063/le-pere-suspecte-d-avoir-tue-sa-conjointe-a-mascouche-etait-un-educateur-specialise,Mascouche: Benoît Cardinal est accusé de meurtre non prémédité,"C’était une famille « sans histoire », du moins jusqu’à vendredi dernier, lorsque le père a démissio [...]",3923,122.48,1.864069682916121e-27,0,"122,5","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-03-13,https://www.ledevoir.com/societe/571522/un-assassin-libere-de-prison-recidive,Le meurtre de Sainte-Foy était-il évitable?,La Commission des libérations conditionnelles du Canada (CLCC) se retrouve sous les projecteurs pour [...],4505,122.45,3.096654156686029e-29,0,"122,5","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-03-19,https://www.ledevoir.com/politique/quebec/571605/parti-quebecois-frederic-bastien-se-lance-dans-la-course,Frédéric Bastien se lance dans la course à la chefferie du PQ,Le professeur et historien Frédéric Bastien est devenu cette fin de semaine le troisième candidat à  [...],4193,117.1,1.864069682916121e-27,0,"117,1","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-03-31,https://www.ledevoir.com/societe/589799/profilage-racial-la-police-de-repentigny-se-veut-plus-inclusive,La police de Repentigny se veut plus inclusive,"La police de Repentigny demeure prudente quant à l’utilisation du terme « profilage racial », alors  [...]",4139,105.56,3.9601540485989024e-22,0,"105,6","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-04-02,https://www.ledevoir.com/societe/585937/upac-l-ex-commissaire-temoigne-au-proces-de-son-ex-bras-droit,Robert Lafrenière assure ne pas avoir quitté l’UPAC à cause de Guy Ouellette,L’ex-commissaire de l’Unité permanente anticorruption (UPAC) Robert Lafrenière affirme que sa démiss [...],3981,94.12,3.0445942021790443e-21,0,"94,1","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-06-02,https://www.ledevoir.com/societe/619329/14e-feminicide-une-mere-de-famille-tuee-par-son-conjoint,Quatorzième féminicide de l’année au Québec,Une femme aurait été tuée par son conjoint lundi soir à Montréal alors même que leurs deux enfants é [...],3902,155.92,6.587331925107545e-32,0,"155,9","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-06-03,https://www.ledevoir.com/societe/574679/meurtre-de-daphne-huard-boudreault-les-policiers-blanchis-par-le-commissaire-a-la-deontologie,Meurtre de Daphné Huard-Boudreault: les policiers blanchis par le commissaire à la déontologie,Les interventions policières survenues quelques heures avant le meurtre de Daphné Huard-Boudreault p [...],4545,130.53,6.587331925107545e-32,0,"130,5","0,00 %","0,00 %"
1 (textes originaux en français),français,Améli Pineda,1 journaliste,un reportage judiciaire,2020-06-08,https://www.ledevoir.com/societe/579975/observations-sur-la-peine-ugo-fredette-se-compare-a-guy-turcotte,Ugo Fredette se compare à Guy Turcotte,Les audiences sur la peine du meurtrier Ugo Fredette se sont amorcées lundi avec de troublantes décl [...],4493,115.85,3.096654156686029e-29,0,"115,9","0,00 %","0,00 %"
